iter	Passed	Remaining
915	7548	8932
916	7556	8924
917	7564	8915
918	7572	8907
919	7580	8898
920	7588	8890
921	7596	8882
922	7604	8873
923	7613	8865
924	7621	8857
925	7630	8850
926	7639	8842
927	7647	8834
928	7655	8826
929	7664	8817
930	7672	8809
931	7680	8801
932	7688	8793
933	7697	8784
934	7705	8776
935	7713	8768
936	7722	8760
937	7729	8751
938	7737	8743
939	7746	8735
940	7754	8726
941	7762	8717
942	7770	8709
943	7778	8701
944	7786	8692
945	7794	8684
946	7802	8675
947	7810	8667
948	7818	8659
949	7827	8650
950	7834	8642
951	7843	8634
952	7851	8626
953	7859	8617
954	7867	8608
955	7875	8600
956	7882	8591
957	7890	8582
958	7899	8574
959	7907	8566
960	7914	8557
961	7922	8548
962	7930	8539
963	7938	8531
964	7946	8522
965	7954	8514
966	7963	8506
967	7971	8498
968	7979	8490
969	7988	8482
970	7996	8474
971	8004	8465
972	8012	8457
973	8021	8449
974	8028	8440
975	8037	8432
976	8045	8424
977	8053	8415
978	8061	8407
979	8069	8399
980	8077	8390
981	8086	8382
982	8094	8374
983	8102	8365
984	8110	8357
985	8117	8348
986	8125	8339
987	8134	8331
988	8142	8323
989	8149	8314
990	8158	8306
991	8166	8298
992	8174	8289
993	8182	8281
994	8191	8273
995	8199	8265
996	8208	8257
997	8216	8249
998	8225	8241
999	8233	8233
1000	8242	8225
1001	8250	8217
1002	8258	8209
1003	8266	8201
1004	8274	8192
1005	8293	8194
1006	8312	8196
1007	8330	8198
1008	8343	8194
1009	8355	8190
1010	8368	8186
1011	8378	8179
1012	8387	8172
1013	8395	8163
1014	8403	8154
1015	8411	8146
1016	8419	8138
1017	8427	8129
1018	8435	8121
1019	8443	8112
1020	8452	8104
1021	8459	8095
1022	8467	8087
1023	8475	8078
1024	8483	8070
1025	8492	8061
1026	8500	8053
1027	8508	8044
1028	8516	8036
1029	8524	8027
1030	8532	8019
1031	8540	8010
1032	8548	8001
1033	8556	7993
1034	8564	7985
1035	8572	7976
1036	8580	7968
1037	8588	7959
1038	8597	7951
1039	8604	7943
1040	8613	7934
1041	8621	7926
1042	8629	7918
1043	8638	7910
1044	8647	7902
1045	8656	7894
1046	8665	7887
1047	8674	7879
1048	8683	7872
1049	8692	7864
1050	8700	7856
1051	8709	7848
1052	8718	7841
1053	8727	7833
1054	8737	7826
1055	8746	7818
1056	8754	7810
1057	8762	7802
1058	8771	7793
1059	8779	7785
1060	8787	7777
1061	8795	7768
1062	8803	7760
1063	8811	7751
1064	8820	7743
1065	8828	7735
1066	8837	7727
1067	8845	7719
1068	8853	7710
1069	8862	7702
1070	8870	7694
1071	8878	7685
1072	8886	7677
1073	8895	7669
1074	8903	7661
1075	8911	7652
1076	8920	7644
1077	8929	7636
1078	8938	7629
1079	8946	7621
1080	8955	7613
1081	8963	7605
1082	8971	7596
1083	8979	7587
1084	8987	7579
1085	8996	7571
1086	9004	7563
1087	9012	7554
1088	9020	7545
1089	9028	7537
1090	9036	7528
1091	9044	7520
1092	9052	7511
1093	9059	7502
1094	9067	7494
1095	9075	7485
1096	9083	7477
1097	9092	7469
1098	9100	7461
1099	9108	7452
1100	9116	7444
1101	9125	7435
1102	9133	7427
1103	9141	7418
1104	9149	7410
1105	9157	7402
1106	9166	7394
1107	9174	7386
1108	9183	7378
1109	9192	7370
1110	9200	7362
1111	9208	7353
1112	9216	7345
1113	9224	7336
1114	9232	7328
1115	9241	7320
1116	9249	7311
1117	9257	7303
1118	9265	7294
1119	9273	7286
1120	9281	7277
1121	9289	7269
1122	9297	7260
1123	9305	7252
1124	9314	7244
1125	9322	7236
1126	9330	7227
1127	9339	7219
1128	9347	7211
1129	9355	7203
1130	9364	7195
1131	9372	7186
1132	9380	7178
1133	9388	7169
1134	9396	7161
1135	9404	7152
1136	9412	7144
1137	9421	7136
1138	9429	7128
1139	9438	7120
1140	9446	7112
1141	9455	7103
1142	9463	7095
1143	9471	7087
1144	9480	7078
1145	9488	7070
1146	9495	7061
1147	9503	7053
1148	9511	7044
1149	9519	7036
1150	9527	7027
1151	9535	7019
1152	9543	7011
1153	9552	7003
1154	9560	6994
1155	9569	6986
1156	9576	6977
1157	9585	6969
1158	9593	6961
1159	9601	6953
1160	9610	6945
1161	9618	6936
1162	9627	6928
1163	9635	6920
1164	9646	6914
1165	9654	6905
1166	9662	6897
1167	9670	6888
1168	9678	6880
1169	9687	6872
1170	9696	6864
